Player Deaths,Enemies Defeated,Total Combat Time,Potions Used,Waypoints Discovered,Zones Discovered,Quests Completed,NPC Interactions,Achievements Unlocked,Current Difficulty Multiplier,Current Dynamic Player Type
12,5,4126,9,10,0,11,9,3,1.0,Socializer
12,65,3021,25,6,7,15,8,3,1.0,Killer
12,38,4420,48,13,4,4,14,1,1.0,Killer
1,102,3402,42,8,4,6,44,3,10.0,Socializer
8,49,3122,7,8,7,7,6,2,1.5500000000000003,Killer
11,115,4309,48,13,5,19,10,3,3.0999999999999996,Killer
8,0,2314,6,6,5,17,20,7,1.0,Socializer
13,134,4370,48,16,0,18,35,0,3.0,Socializer
13,153,1261,24,19,0,2,18,6,6.1000000000000005,Killer
1,79,1691,30,7,1,15,37,6,10.0,Socializer
3,85,1178,26,3,8,18,22,8,9.2,Socializer
7,19,2291,26,19,9,10,15,3,1.0,Socializer
11,18,2333,24,18,9,18,17,8,1.0,Socializer
2,64,1817,12,10,2,1,32,4,8.8,Socializer
12,137,2457,10,11,2,10,38,1,6.199999999999999,Socializer
9,76,4505,31,11,6,15,5,9,2.05,Killer
10,186,4345,15,18,6,8,10,2,10.0,Killer
10,30,615,47,16,6,13,20,1,1.0,Socializer
4,198,1541,20,9,7,16,19,2,10.0,Killer
5,83,3900,23,0,9,0,30,7,7.15,Socializer
1,167,3687,3,13,2,14,10,8,10.0,Killer
9,16,4704,33,2,7,2,49,0,1.0,Socializer
12,198,2637,0,9,4,11,5,0,10.0,Killer
10,166,4523,33,7,4,13,36,4,9.950000000000001,Socializer
10,57,2369,23,10,7,1,33,6,1.0,Socializer
3,169,3503,39,18,4,5,29,7,10.0,Killer
4,63,2853,29,4,5,12,39,3,5.85,Socializer
2,160,1871,18,2,2,2,4,8,10.0,Killer
10,68,1608,8,9,6,7,20,2,1.4,Socializer
4,151,3451,20,9,9,17,20,8,10.0,Killer
12,187,3385,3,18,6,0,22,2,10.0,Killer
5,110,3563,2,18,7,10,48,8,10.0,Socializer
5,44,886,3,1,8,3,4,7,4.25,Killer
3,104,511,4,14,7,15,9,0,10.0,Killer
14,16,1128,5,16,3,13,25,5,1.0,Socializer
10,111,4559,38,17,2,0,4,9,4.199999999999999,Killer
12,152,2201,35,19,5,12,47,2,6.449999999999999,Socializer
12,123,4994,17,11,4,9,8,9,4.450000000000001,Killer
11,142,606,6,2,6,7,1,5,7.8999999999999995,Killer
9,185,1419,27,6,1,15,37,9,10.0,Socializer
12,41,698,33,8,6,8,35,0,1.0,Socializer
2,130,4482,24,9,5,4,20,8,10.0,Killer
8,148,561,14,14,6,3,16,5,10.0,Killer
5,68,2257,21,12,4,5,40,5,5.75,Socializer
1,96,4707,2,16,8,0,25,8,10.0,Killer
11,149,77,33,18,1,18,31,0,7.25,Socializer
5,87,3958,1,7,1,8,27,5,8.649999999999999,Socializer
1,25,3408,17,17,1,17,42,9,5.65,Socializer
2,178,1962,34,13,6,13,6,4,10.0,Killer
9,181,3285,27,8,1,11,17,8,10.0,Killer
8,137,4360,40,0,8,4,31,2,8.7,Killer
5,99,4085,11,12,8,8,39,6,9.35,Socializer
11,88,3283,13,4,1,9,29,2,2.150000000000001,Socializer
1,5,4791,29,19,0,16,33,6,3.05,Socializer
7,79,2850,43,13,2,4,49,9,3.7500000000000004,Socializer
12,33,2402,23,3,6,4,27,3,1.0,Socializer
10,186,171,4,0,4,16,33,9,10.0,Socializer
5,9,3229,31,19,0,12,32,3,1.0,Socializer
12,2,4592,20,7,2,18,27,5,1.0,Socializer
12,39,581,39,6,5,19,27,7,1.0,Socializer
2,84,3186,18,19,2,0,26,8,10.0,Socializer
8,196,2314,1,11,4,4,42,6,10.0,Socializer
14,60,1298,31,0,8,17,16,7,1.0,Socializer
7,113,4477,5,8,1,12,1,8,9.05,Killer
5,172,1315,16,18,9,18,13,2,10.0,Killer
3,87,778,38,3,4,11,49,4,8.799999999999999,Socializer
2,19,329,22,12,0,13,43,6,3.8000000000000003,Socializer
14,75,4590,27,19,4,4,4,5,1.0,Killer
9,87,116,12,14,0,8,4,7,4.1,Killer
9,19,1213,18,10,0,17,21,6,1.0,Socializer
5,42,4230,32,5,6,1,1,5,2.6,Killer
3,194,4900,18,19,5,14,48,0,10.0,Socializer
5,181,3932,45,3,4,0,32,8,10.0,Killer
1,20,4929,1,4,5,5,1,0,5.95,Killer
8,89,3162,30,15,3,18,23,1,4.4,Socializer
4,178,2620,41,13,0,16,48,1,10.0,Socializer
3,84,150,49,12,1,14,30,0,7.95,Socializer
14,34,4431,19,14,0,15,41,4,1.0,Socializer
3,179,2172,34,8,6,12,38,2,10.0,Socializer
4,70,732,44,16,7,9,7,5,5.8,Killer
9,41,4806,45,17,4,4,17,5,1.0,Killer
7,15,440,20,3,7,2,24,1,1.0,Socializer
4,139,4636,46,5,5,9,2,0,10.0,Killer
9,173,3056,11,16,1,1,22,6,10.0,Killer
13,46,1990,33,12,9,18,29,5,1.0,Socializer
4,139,2581,48,0,1,10,8,5,10.0,Killer
3,34,499,29,0,6,5,36,5,3.95,Socializer
3,15,2110,26,4,2,13,43,6,2.2,Socializer
7,119,4208,29,7,6,17,44,4,8.45,Socializer
6,61,1800,28,2,2,13,15,9,3.6999999999999993,Socializer
9,41,345,11,0,4,16,20,8,1.0,Socializer
3,167,1026,13,7,5,11,19,7,10.0,Killer
6,45,1026,35,12,7,13,44,3,1.75,Socializer
6,30,2774,34,4,5,9,36,9,1.0,Socializer
12,138,2356,11,15,6,12,28,4,6.250000000000001,Socializer
6,173,363,17,16,3,13,34,5,10.0,Socializer
14,7,4155,4,3,7,0,31,6,1.0,Socializer
6,17,4489,40,0,9,4,37,2,1.0,Socializer
8,179,2735,41,0,5,13,37,1,10.0,Socializer
5,164,235,44,5,7,8,45,9,10.0,Socializer
2,95,2462,15,7,9,8,37,6,10.0,Socializer
14,199,1689,5,17,3,10,26,3,10.0,Killer
7,179,1241,30,3,6,6,47,6,10.0,Socializer
12,82,1063,4,16,2,6,19,5,1.0,Socializer
10,106,4858,36,12,1,5,5,7,3.8,Killer
5,182,2235,16,6,6,11,31,0,10.0,Killer
2,163,4352,2,13,6,5,2,3,10.0,Killer
6,160,3439,49,18,6,3,10,5,10.0,Killer
6,23,498,35,1,5,17,16,4,1.0,Socializer
8,74,4582,7,17,7,2,33,6,4.050000000000001,Socializer
12,17,4749,2,9,4,7,2,3,1.0,Killer
8,164,4123,15,17,1,11,15,7,10.0,Killer
4,173,1406,41,14,4,7,34,8,10.0,Socializer
6,94,15,10,5,1,7,7,1,7.9,Killer
7,103,3815,11,1,4,3,38,0,7.750000000000001,Socializer
8,68,3626,33,9,4,8,6,1,2.1499999999999995,Killer
5,172,3113,33,17,7,10,32,1,10.0,Killer
8,67,3781,43,5,5,19,24,6,1.5500000000000003,Socializer
12,11,3763,32,10,9,4,46,7,1.0,Socializer
1,90,1407,17,15,0,17,22,2,10.0,Socializer
5,148,3554,32,4,3,16,18,4,10.0,Killer
1,168,686,3,14,1,0,14,3,10.0,Killer
13,136,180,14,4,3,16,35,0,4.8999999999999995,Socializer
5,48,1947,12,7,7,17,48,6,4.199999999999999,Socializer
5,149,1037,28,17,7,17,20,8,10.0,Killer
9,113,3898,15,7,7,4,28,1,6.550000000000001,Socializer
6,181,4691,25,9,1,14,38,5,10.0,Killer
1,35,3568,27,19,2,15,22,2,6.15,Socializer
5,51,167,14,19,1,19,45,7,4.3999999999999995,Socializer
5,146,2334,12,7,9,5,7,8,10.0,Killer
14,73,2347,17,18,9,7,12,1,1.0,Killer
4,56,1331,35,2,4,18,38,2,4.85,Socializer
2,93,1198,6,0,5,16,34,6,10.0,Socializer
14,175,75,33,11,5,19,41,5,6.85,Socializer
4,105,3367,13,12,9,1,30,5,10.0,Socializer
4,183,1792,10,9,4,9,19,3,10.0,Killer
14,188,2161,43,8,4,10,0,6,7.65,Killer
1,35,501,20,15,1,3,45,0,6.5,Socializer
8,114,2440,8,6,3,0,2,1,8.0,Killer
6,63,2650,14,12,2,15,38,9,4.6,Socializer
7,161,1695,34,9,4,17,22,4,10.0,Killer
1,158,4307,25,14,1,9,29,9,10.0,Killer
7,167,4309,35,10,7,12,5,4,10.0,Killer
7,65,707,48,6,8,1,47,8,2.0999999999999996,Socializer
0,120,1241,20,15,8,2,6,2,10.0,Killer
8,25,2770,12,15,8,10,37,8,1.0,Socializer
5,16,2057,7,12,9,2,0,3,1.25,Explorer
1,106,988,39,4,8,18,19,1,10.0,Socializer
3,12,1568,49,2,7,16,8,3,1.0,Socializer
4,36,1026,32,18,2,18,13,9,2.9999999999999996,Socializer
5,111,3137,8,17,4,9,3,2,10.0,Killer
8,64,4086,2,1,7,11,27,1,3.3000000000000003,Socializer
5,64,738,30,5,4,16,41,9,4.9,Socializer
9,82,545,43,0,7,11,5,2,2.0499999999999994,Killer
7,118,1053,24,1,9,16,17,3,8.600000000000001,Socializer
3,120,2473,35,16,7,4,27,6,10.0,Socializer
13,46,1203,29,12,4,18,29,4,1.0,Socializer
12,120,1729,20,14,9,6,36,8,4.0,Socializer
10,186,4879,3,4,5,4,32,0,10.0,Killer
4,181,1999,16,19,5,11,15,4,10.0,Killer
6,195,1231,9,2,2,0,22,0,10.0,Killer
14,168,3565,10,14,0,15,21,1,7.300000000000001,Killer
9,128,3353,38,6,4,7,12,1,6.9,Killer
8,152,1436,30,5,6,12,34,3,10.0,Socializer
5,58,1887,39,11,7,15,1,8,3.8499999999999996,Achiever
5,141,2575,18,1,8,5,5,8,10.0,Killer
4,85,3039,29,19,5,18,23,4,8.05,Socializer
10,150,3689,2,2,0,7,10,7,9.9,Killer
13,184,4047,4,6,4,19,47,1,10.0,Socializer
2,187,1612,42,13,6,1,27,5,10.0,Killer
12,40,2115,42,13,1,12,17,1,1.0,Socializer
7,16,4268,43,11,8,6,5,3,1.0,Killer
8,170,236,28,1,1,11,40,8,10.0,Socializer
12,18,991,0,7,2,12,13,5,1.0,Socializer
0,116,1962,36,2,4,19,45,0,10.0,Socializer
10,188,1301,37,18,6,4,41,6,10.0,Socializer
2,25,2313,30,18,6,6,4,4,4.0,Killer
1,14,1298,3,13,8,6,43,7,5.25,Socializer
1,59,105,9,2,4,2,19,6,9.450000000000001,Socializer
2,156,1169,10,1,3,2,47,0,10.0,Socializer
13,57,1679,37,4,7,14,10,5,1.0,Socializer
1,10,536,49,3,1,18,20,5,2.55,Socializer
0,156,3645,5,14,2,6,8,3,10.0,Killer
13,34,3021,11,2,7,4,38,0,1.0,Socializer
3,101,2860,23,1,6,13,34,8,10.0,Socializer
7,37,548,12,7,0,1,5,5,1.1,Killer
3,164,2288,24,10,8,9,2,0,10.0,Killer
9,115,2656,22,11,7,11,42,9,6.4,Socializer
12,133,4376,49,1,8,1,30,6,3.8500000000000005,Killer
13,112,3814,9,6,4,11,21,3,2.749999999999999,Killer
13,134,3622,13,14,9,14,48,5,4.75,Socializer
11,142,4360,1,3,7,5,41,4,8.149999999999999,Socializer
11,72,4975,37,13,5,15,16,0,1.0,Killer
4,79,2897,26,16,4,17,24,5,7.6000000000000005,Socializer
1,37,2323,9,14,2,17,18,0,7.25,Socializer
8,11,1236,36,19,3,0,44,3,1.0,Socializer
6,155,3187,30,2,8,10,28,2,10.0,Killer
5,136,4145,42,6,6,4,18,2,10.0,Killer
11,68,1146,32,5,3,13,17,4,1.0,Socializer
3,56,202,12,2,8,8,45,0,7.0,Socializer
5,88,1433,20,5,8,5,15,4,7.800000000000001,Killer
0,75,3302,4,18,1,11,40,2,10.0,Socializer
1,169,3908,35,3,6,12,24,5,10.0,Killer
3,77,1887,14,17,9,7,47,7,9.0,Socializer
1,60,3151,27,8,7,2,30,5,8.65,Socializer
2,56,1372,32,7,9,9,42,3,7.0,Socializer
14,180,2641,42,6,6,6,10,3,6.9,Killer
13,24,3284,42,15,2,0,22,2,1.0,Socializer
3,25,462,43,18,7,11,30,5,2.35,Socializer
1,160,3676,35,3,0,12,47,2,10.0,Socializer
8,87,3910,2,15,4,7,14,0,5.6,Killer
9,71,2160,8,12,0,6,34,9,2.6999999999999997,Socializer
6,158,2725,14,11,8,6,35,3,10.0,Socializer
1,164,4482,32,18,3,6,19,5,10.0,Killer
5,181,3542,44,3,6,7,35,5,10.0,Killer
5,170,3195,40,1,1,5,33,1,10.0,Killer
6,14,1234,46,19,5,5,41,8,1.0,Socializer
9,16,1373,0,17,0,11,44,4,1.0,Socializer
6,147,3877,6,15,8,3,35,8,10.0,Socializer
5,89,4817,7,7,8,12,22,8,8.55,Killer
3,116,3070,23,14,2,12,32,2,10.0,Socializer
13,164,386,29,2,6,4,7,9,6.949999999999998,Killer
2,182,2790,17,19,9,4,27,0,10.0,Killer
3,10,2050,2,8,3,4,39,7,2.9,Socializer
11,109,4730,6,9,1,0,48,2,4.6000000000000005,Socializer
7,177,315,3,18,3,17,3,6,10.0,Killer
3,7,1169,11,16,6,7,4,1,2.1500000000000004,Explorer
9,118,2824,25,2,0,1,0,0,6.550000000000001,Killer
6,35,1702,33,4,5,13,48,1,1.0,Socializer
10,20,3893,6,12,9,11,23,3,1.0,Socializer
7,56,3094,26,10,8,4,21,0,2.3,Socializer
6,30,2181,8,3,0,7,8,9,1.6,Killer
11,51,149,31,9,9,10,15,2,1.0,Socializer
2,143,2665,28,12,8,11,17,6,10.0,Killer
0,148,4625,45,5,7,7,29,1,10.0,Killer
10,198,539,17,4,3,8,44,2,10.0,Socializer
10,62,3019,4,15,3,11,0,0,1.0000000000000002,Killer
0,87,1884,28,10,1,4,39,9,10.0,Socializer
13,2,2624,18,17,4,0,23,9,1.0,Socializer
5,149,239,22,6,2,5,14,4,10.0,Killer
7,123,1326,5,11,5,10,43,8,10.0,Socializer
6,122,2618,22,9,4,7,0,5,10.0,Killer
0,62,459,45,6,2,0,0,2,8.95,Killer
1,156,2680,48,2,1,9,8,7,10.0,Killer
9,6,3652,28,13,1,7,20,8,1.0,Socializer
12,72,1867,8,8,4,7,34,0,1.0,Socializer
12,101,1319,21,7,5,7,2,9,2.05,Killer
4,1,4497,15,14,8,14,48,1,1.0,Socializer
9,115,3264,14,14,1,8,27,2,6.8,Socializer
9,184,2444,37,7,9,9,4,3,10.0,Killer
5,199,3206,4,4,3,12,24,5,10.0,Killer
2,35,1256,23,7,0,16,2,7,5.35,Achiever
12,66,3847,14,13,5,10,1,3,1.0,Killer
8,178,2825,7,8,0,17,38,7,10.0,Socializer
6,126,2457,30,0,4,7,34,4,10.0,Socializer
0,46,11,21,8,3,3,16,5,8.549999999999999,Socializer
10,29,815,6,15,6,13,25,7,1.0,Socializer
6,149,2903,33,10,3,0,19,2,10.0,Killer
9,175,3652,20,13,2,2,19,2,10.0,Killer
11,62,3605,1,1,2,0,36,8,1.0,Socializer
13,165,3606,40,3,3,2,20,2,6.5,Killer
5,64,3176,49,8,0,3,43,5,3.95,Socializer
8,194,4353,21,2,8,16,9,7,10.0,Killer
13,127,1842,8,15,2,15,1,7,4.299999999999999,Killer
8,108,209,30,5,3,4,41,0,6.300000000000001,Socializer
8,52,3980,7,15,8,13,13,6,1.85,Killer
3,189,1161,33,17,8,19,35,0,10.0,Socializer
10,90,225,48,5,2,15,20,1,1.5999999999999996,Socializer
4,168,4047,29,9,8,2,47,5,10.0,Socializer
13,16,2563,9,18,6,9,42,7,1.0,Socializer
5,89,1031,11,11,3,18,4,1,8.35,Killer
11,168,4700,48,3,3,19,25,9,8.4,Killer
1,0,315,25,13,1,10,27,7,2.75,Socializer
11,1,4132,22,2,7,7,12,6,1.0,Socializer
2,151,1081,13,13,8,0,20,6,10.0,Killer
11,105,2397,44,17,1,7,0,4,2.3,Killer
5,47,1478,2,3,7,11,38,2,4.6000000000000005,Socializer
4,108,1275,16,13,3,13,43,4,10.0,Socializer
2,111,2957,2,13,2,4,5,3,10.0,Killer
6,14,4338,0,2,6,2,19,8,1.0,Socializer
14,110,3674,45,9,4,12,2,9,1.0,Killer
1,161,2374,13,1,4,9,22,8,10.0,Killer
3,134,4609,24,6,9,2,15,2,10.0,Killer
2,94,2378,19,8,6,11,24,1,10.0,Socializer
11,142,3938,44,5,9,1,45,1,5.999999999999999,Socializer
8,78,1936,29,3,5,4,43,8,3.3499999999999996,Socializer
14,9,3074,31,11,5,13,48,8,1.0,Socializer
0,166,368,36,4,9,3,15,9,10.0,Killer
2,157,2761,41,6,3,19,40,1,10.0,Socializer
4,30,4148,46,16,6,0,21,4,1.6999999999999997,Socializer
0,39,3301,2,15,1,19,45,5,8.8,Socializer
10,48,4923,43,12,7,3,21,7,1.0,Socializer
4,89,1306,1,16,7,9,9,4,9.85,Killer
12,196,3356,14,4,7,19,39,6,10.0,Socializer
4,75,4158,48,0,0,12,18,1,6.1,Killer
6,60,2402,16,8,6,16,29,2,4.2,Socializer
5,14,683,1,13,2,9,0,7,1.3499999999999999,Achiever
6,134,1388,1,3,1,7,2,3,10.0,Killer
12,176,51,42,19,7,11,39,0,8.500000000000002,Socializer
14,169,3373,28,14,9,18,27,8,6.499999999999998,Killer
8,169,32,46,10,3,2,25,1,10.0,Killer
4,171,691,43,9,7,3,46,6,10.0,Socializer
4,111,1230,42,15,6,19,16,8,10.0,Socializer
13,179,4367,14,2,3,12,3,6,9.2,Killer
5,198,737,14,13,2,15,12,4,10.0,Killer
5,58,4514,19,14,2,11,3,8,4.85,Killer
5,20,1607,34,7,2,2,47,6,1.0,Socializer
14,4,3919,7,18,4,6,21,2,1.0,Socializer
2,193,1750,13,19,1,9,31,1,10.0,Killer
14,87,1470,17,14,3,12,6,4,1.0,Killer
3,129,3045,12,7,0,2,29,6,10.0,Socializer
4,22,63,9,11,1,10,28,9,2.75,Socializer
12,118,4973,45,4,9,2,7,3,2.5500000000000007,Killer
3,183,2036,17,19,0,16,45,0,10.0,Socializer
6,96,334,30,4,7,9,11,9,7.1,Killer
5,78,4899,42,8,5,8,34,0,5.699999999999999,Socializer
11,117,1793,40,16,2,5,22,0,3.6999999999999993,Killer
12,26,888,21,15,0,3,15,6,1.0,Socializer
12,13,4827,43,16,7,5,3,4,1.0,Killer
5,88,2879,6,2,8,4,48,6,8.5,Socializer
2,71,4320,49,19,5,3,44,1,7.6499999999999995,Socializer
12,153,3002,20,10,3,1,26,5,7.300000000000001,Killer
5,44,702,47,1,5,5,47,4,2.0500000000000003,Socializer
4,67,3300,40,5,3,0,21,8,5.7,Socializer
14,105,510,0,5,0,2,19,0,1.5,Socializer
10,108,4842,23,11,9,7,48,8,4.65,Socializer
0,77,4090,10,2,5,1,0,8,10.0,Killer
10,120,2482,49,15,5,18,46,8,4.55,Socializer
7,167,1847,13,8,3,3,43,9,10.0,Socializer
5,45,3217,23,6,1,15,14,5,3.3499999999999996,Socializer
1,181,661,18,9,4,14,49,4,10.0,Socializer
0,121,1707,9,12,7,12,26,6,10.0,Socializer
0,167,3522,32,4,6,16,3,5,10.0,Killer
7,173,4270,13,5,0,2,4,5,10.0,Killer
0,37,1824,11,4,3,6,20,3,8.149999999999999,Socializer
4,35,1683,6,15,9,11,20,3,4.2,Socializer
6,45,335,9,19,1,12,24,8,3.05,Socializer
3,142,3768,27,6,2,17,39,5,10.0,Socializer
13,30,1786,4,19,1,1,40,3,1.0,Socializer
9,16,3786,12,19,1,8,38,1,1.0,Socializer
12,182,611,10,10,4,1,7,2,10.0,Killer
10,90,2536,17,19,9,19,6,4,3.15,Killer
1,75,3354,32,14,8,18,37,3,9.9,Socializer
7,199,2156,26,10,8,7,46,1,10.0,Socializer
5,43,1085,14,18,7,10,43,5,3.5999999999999996,Socializer
1,60,2921,39,6,3,11,0,6,8.05,Killer
12,100,4062,32,5,7,19,34,7,1.4,Socializer
3,168,802,7,1,4,11,48,9,10.0,Socializer
5,124,2046,35,18,1,15,44,9,10.0,Socializer
9,18,2683,10,19,0,7,39,5,1.0,Socializer
4,192,4690,43,10,1,16,28,1,10.0,Killer
6,80,276,39,14,6,4,2,2,5.05,Killer
7,107,2411,49,15,1,15,24,8,6.249999999999999,Socializer
6,111,3148,24,7,6,0,8,4,8.899999999999999,Killer
13,76,1382,3,18,2,19,6,8,1.0,Achiever
3,119,3753,49,17,6,11,49,3,10.0,Socializer
13,128,64,23,14,0,16,43,8,3.6500000000000004,Socializer
1,77,250,14,9,7,15,45,7,10.0,Socializer
7,142,4805,6,7,9,4,23,7,10.0,Killer
6,62,2297,31,15,2,18,28,6,3.6500000000000004,Socializer
0,117,1307,27,16,3,18,45,2,10.0,Socializer
9,154,4243,46,18,3,15,34,0,9.1,Socializer
8,163,865,43,4,1,7,16,7,10.0,Killer
5,169,1524,10,1,7,5,6,3,10.0,Killer
4,84,4274,13,4,6,1,2,0,8.75,Killer
5,16,3401,31,9,2,10,37,7,1.0,Socializer
14,119,2116,22,1,1,8,30,0,1.8000000000000003,Socializer
0,147,635,39,17,4,12,38,2,10.0,Socializer
12,141,4542,33,4,6,19,3,4,5.449999999999999,Killer
7,174,989,13,1,5,11,30,2,10.0,Socializer
11,36,1646,33,13,5,3,39,9,1.0,Socializer
3,195,2421,21,18,1,11,31,7,10.0,Killer
2,26,3650,6,14,3,12,44,6,5.3,Socializer
2,140,3182,33,16,3,17,44,7,10.0,Socializer
10,97,1313,42,14,7,15,12,7,2.599999999999999,Killer
8,167,3099,0,9,5,7,39,2,10.0,Socializer
12,161,898,5,15,3,12,5,6,8.850000000000001,Killer
8,171,4716,41,4,9,10,18,9,10.0,Killer
2,84,1839,45,8,1,15,23,4,9.15,Socializer
0,172,1354,0,15,5,15,34,3,10.0,Socializer
14,128,636,19,14,4,3,35,7,2.8500000000000005,Socializer
2,186,2215,14,8,7,15,19,5,10.0,Killer
13,153,2653,37,16,2,0,0,9,5.450000000000001,Killer
12,20,1835,15,1,4,13,9,6,1.0,Socializer
2,104,1376,32,12,0,2,11,7,10.0,Killer
9,67,4738,44,12,5,11,41,9,1.0,Socializer
1,128,2513,15,15,6,16,23,5,10.0,Socializer
2,194,1243,31,4,5,9,13,2,10.0,Killer
10,5,650,29,5,9,18,39,6,1.0,Socializer
13,149,1291,19,0,4,0,33,5,5.95,Socializer
14,196,1982,13,6,5,15,13,1,9.950000000000001,Killer
9,173,396,28,17,7,10,30,6,10.0,Socializer
2,149,3783,25,7,6,1,25,2,10.0,Killer
14,158,647,6,7,3,6,45,0,6.500000000000001,Socializer
0,154,2709,27,3,1,11,17,9,10.0,Killer
11,119,2737,2,1,1,19,31,1,5.800000000000001,Socializer
2,123,4033,19,0,5,19,13,4,10.0,Killer
7,15,1188,39,17,5,2,33,3,1.0,Socializer
10,14,1636,40,5,3,5,2,0,1.0,Killer
3,67,2228,36,13,8,10,22,7,6.8999999999999995,Socializer
6,120,2918,18,5,2,0,34,8,10.0,Socializer
11,164,3639,38,14,3,2,7,0,8.499999999999998,Killer
3,99,4456,10,11,7,6,14,9,10.0,Killer
5,167,4800,32,19,6,18,6,9,10.0,Killer
3,28,591,45,7,9,1,9,4,2.55,Socializer
1,182,2538,21,2,0,5,25,2,10.0,Killer
14,145,252,23,10,6,9,8,0,4.35,Killer
7,98,3786,31,10,9,17,43,5,6.250000000000001,Socializer
13,68,3387,30,9,8,7,46,0,1.0,Socializer
14,101,2471,32,16,2,7,38,7,1.0,Socializer
7,90,4716,36,11,1,5,8,0,5.2,Killer
0,170,2310,46,8,9,5,32,2,10.0,Killer
7,73,4635,48,12,4,13,3,9,2.8999999999999995,Killer
13,39,2326,28,18,0,1,19,4,1.0,Socializer
11,162,428,47,15,3,11,27,7,7.85,Socializer
9,11,1128,42,1,0,0,24,6,1.0,Socializer
6,37,14,42,18,3,19,8,4,1.0,Achiever
12,95,1838,2,12,8,10,34,9,2.4,Socializer
10,154,4094,7,2,7,4,48,3,10.0,Socializer
4,113,3893,45,15,4,4,21,0,10.0,Killer
2,98,3516,11,19,8,10,8,9,10.0,Killer
11,78,890,29,18,3,12,8,4,1.0,Killer
3,92,2490,32,10,1,11,7,4,9.6,Killer
10,157,3288,36,17,8,1,18,1,8.899999999999999,Killer
2,173,3820,26,0,0,2,1,6,10.0,Killer
0,81,2060,13,14,1,14,48,1,10.0,Socializer
14,89,4500,49,15,1,17,19,8,1.0,Killer
6,23,1410,34,2,0,0,4,3,1.0,Killer
12,62,4672,34,3,1,0,33,1,1.0,Socializer
4,173,149,14,7,1,18,26,2,10.0,Socializer
7,112,4975,44,8,6,4,24,8,6.999999999999999,Killer
1,59,3992,39,15,8,4,2,9,7.95,Killer
12,75,2317,6,1,8,0,12,3,1.0,Killer
7,52,685,17,0,3,5,2,5,2.35,Killer
8,126,2927,22,16,7,10,1,2,8.5,Killer
